,0,1,2,3,4,5,6,7,8,9
0,22654,119781,95314,32992,33142,83260,85515,24484,37025,28001
1,48170,70589,45514,45272,5928,48143,74365,45936,103552,78233
2,217070,185480,316065,362454,302334,110426,338154,401896,172632,216586
3,40957,73550,58174,20206,50063,52958,20227,47648,40734,7423
4,489401,482386,467143,484669,476748,462430,482819,477794,468327,490386
5,5163,27668,36350,47490,47431,63397,76873,13800,73725,13967
6,331496,143634,413935,262110,174972,407793,423317,439254,358355,178234
7,32854,67248,74428,94996,79258,14214,90954,70531,103691,67044
8,87825,43696,11418,11419,4891,56254,82212,32870,67251,48184
9,44890,41352,41759,69541,44273,58254,60175,3692,50010,69430
10,103216,150172,74728,60453,202073,261142,387865,44889,137532,3306
11,53817,5317,7838,53865,78652,42025,60452,63550,73928,45584
12,43594,23602,40502,90623,4812,76869,27507,44393,56104,20617
13,97094,39116,19164,29069,118130,121829,118330,12069,72845,39377
14,256968,240463,316843,220437,281850,431167,156333,405843,415966,142319
15,84988,96110,90910,88324,61697,88882,8420,58816,8561,61895
16,284888,439933,144490,213979,260155,330725,180203,263216,222822,382281
17,217972,177906,209897,246126,338476,152333,161463,369014,333124,419250
18,284377,154381,194733,232744,20615,205341,233815,169829,434294,423656
19,435242,204256,235842,311083,400247,359294,414722,359293,271585,342474
20,252380,264534,226483,356823,189101,227504,351857,181302,248724,252766
21,4904,64202,101799,70541,47938,78134,41462,61495,20444,97376
22,14173,70019,56024,55873,49677,27546,3142,60387,20456,14221
23,148734,110429,302337,344439,255147,415323,404520,336109,344440,401897
24,410991,439422,396094,377024,180010,441474,349732,229278,284392,248666
25,464968,468742,486336,474604,471229,462935,485262,471208,459700,474974
26,74727,53646,63782,53880,87389,5460,81797,87454,117406,48101
27,66828,47602,73374,27476,100663,33962,69423,24148,16358,63816
28,103776,77515,77345,45335,11587,36502,74007,4427,69636,45389
29,16812,3798,40282,57799,13013,58099,44263,56037,16494,66657
30,161365,240601,355048,420545,370676,439411,44750,269717,403693,427644
31,488098,474479,468567,482291,476028,486242,476979,494725,478973,493692
32,63523,63952,100914,14637,47935,53171,27470,57673,53181,40171
33,336412,421185,339278,288179,142701,380169,391635,167726,138824,184422
34,254651,2034,299344,402032,439078,404830,366124,204898,243606,383131
35,279798,352512,146073,393470,236145,293294,420556,321803,414271,217980
36,212700,180034,257635,248587,223282,219957,303952,112020,212776,388933
37,107957,107940,107951,107959,118282,107952,117447,107971,117776,107945
38,31374,38252,38006,38148,37700,31454,31574,31247,19186,31289
39,7542,55783,43601,95682,47797,47284,43766,20300,16475,20522
40,179698,175755,317835,274139,422011,149915,160095,263487,359770,262541
41,141731,187699,325618,321118,313693,350214,233307,270896,244432,436843
42,275848,262027,204513,265891,225513,272081,418590,112973,304917,289407
43,385280,168363,196208,348774,333822,329433,288413,419427,426541,239047
44,472396,485576,476543,469191,472715,491389,474736,462738,484933,473075
45,41513,45502,77132,53730,5493,74361,81045,45825,36785,7282
46,41326,102470,77002,81051,61281,101152,81306,7300,103184,69639
47,173109,226587,367782,415495,352508,177332,214050,366461,167671,182899
48,95224,28000,88951,119511,119902,87580,67097,67182,97428,88854
49,121676,38945,57147,119995,99107,31375,120193,57153,104874,38080
50,350560,207882,194918,267602,246310,267549,431491,276261,3048,300356
51,367128,237984,433803,319057,210639,385275,419850,213368,377538,207999
52,45593,36683,64323,77445,78652,45110,8215,42025,73928,7838
53,45543,5423,11403,45419,21249,8250,5544,41794,8254,64257
54,49354,60153,23829,3261,55786,16122,20238,58080,13362,33803
55,36886,93324,89152,97701,23080,87617,90859,75166,119210,58808
56,40974,53603,53685,66907,61295,104666,42158,59637,97840,119585
57,512409,512408,512339,512308,512281,512294,512415,512474,512318,512365
58,34883,96301,61611,92118,61795,95631,92200,37267,88454,119388
59,43735,14036,14390,40683,58383,90620,43618,16115,47176,40188
60,154049,249337,183696,148809,233607,436354,234971,287361,273526,396413
61,508979,508940,509167,509012,508978,509142,509150,508922,508929,508923
62,40513,11285,60497,14398,69333,49663,23567,13864,60615,24038
63,69282,60222,60219,20927,11209,57892,47388,49654,11096,50155
64,318903,140997,424966,173992,245149,372564,155354,429872,355868,179711
65,438137,368244,233009,396239,403857,210827,136790,375084,184381,429538
66,5637,81061,101495,45634,36636,32222,5295,103634,103167,56230
67,177674,148925,139066,309852,231974,309846,192972,416968,357237,309847
68,231768,270832,176615,429367,248786,187512,156657,210015,310921,192155
69,372712,384294,154510,364482,167480,215948,437195,186814,426027,184401
70,244560,204184,115788,307747,218868,206044,355381,252215,407638,265753
71,516943,516922,516494,516465,516504,516934,516917,516925,516467,516490
72,321804,173390,247473,197053,153179,336266,250365,345612,299691,2382
73,262603,383148,395928,227700,295212,391207,436171,248396,367614,378335
74,378340,160696,439414,428547,427654,355213,407800,345260,186040,295363
75,358838,149413,209699,277956,155105,375089,246837,287286,198065,209419
76,8289,5551,67046,44852,102553,32335,70685,8338,45503,56240
77,459792,462884,460817,485265,494204,491231,479731,488386,483448,460086
78,509113,509070,509027,509023,508996,508912,509063,508970,509110,509204
79,152356,371313,333891,381309,148871,232015,326612,1415,298726,349097
80,97594,36918,59301,54139,58747,37192,58643,8725,24976,37257
81,8469,65517,63161,59104,62293,63154,24873,8687,23258,48358
82,162351,242314,341070,349419,362282,354889,320002,284045,196533,434302
83,418578,199021,232539,146667,316844,202697,174214,203171,418577,259883
84,460431,472507,464563,463005,464771,471933,472263,468551,465113,461845
85,119872,8528,58737,93379,97928,51195,85251,8823,108406,48316
86,43795,13857,16301,53409,23634,58134,44613,13733,40503,63950
87,117463,89577,119300,89576,57666,59156,95968,82391,47425,87671
88,21112,21769,21542,78114,77247,56193,45692,66994,5948,74610
89,352976,150850,321445,411475,310758,336398,153035,148581,304900,112957
90,39557,47571,90889,22638,108007,88329,25094,96401,87674,119732
91,435432,169306,169363,336741,353466,322418,204142,176495,225623,274342
92,337824,428228,242000,324596,439096,381467,287480,192873,255818,219957
93,25144,24553,61892,94908,119403,34594,85046,88560,43659,95322
94,77505,32140,21321,73710,31932,22105,496654,5773,77778,77499
95,489480,468313,481834,494894,464127,463695,481375,471099,484121,469954
96,432130,292816,370363,110259,302166,287706,246925,262252,193629,327092
97,186319,239657,142706,388455,192751,402146,214620,353607,334837,406349
98,209892,249626,213363,246578,149541,212068,215716,108626,110905,240235
99,100152,32249,53701,40931,45176,44621,21207,64303,7934,45681
100,181609,302479,110568,138012,178531,189531,165765,372364,355341,286350
101,61536,21615,34103,69691,36513,8304,64463,24163,45004,64070
102,84409,53886,8223,45526,47700,45721,70689,45933,36287,63931
103,45485,103711,81059,21266,11584,64009,53702,45910,5298,50855
104,363896,417155,239047,354264,179583,143991,422024,109120,301014,243868
105,50878,117620,67068,33892,64373,7834,77558,103550,70774,56128
106,57149,38139,91353,121637,117785,57164,98134,120208,120041,97136
107,476199,487749,473255,470390,468640,484952,494343,464789,475106,461996
108,407963,139965,393466,284397,430863,257169,377027,411146,362628,153622
109,339588,250605,313357,399194,395587,154257,391355,271109,213951,141514
110,92672,33745,44343,66500,10523,3625,49920,50201,3732,84094
111,265754,250575,253569,415810,237345,386424,233013,242777,341708,399944
112,469358,484487,470866,475625,487163,474694,467074,488096,467695,463018
113,527640,527617,527639,527614,527638,527501,527613,527612,527616,527552
114,45114,94802,64034,103585,49730,67213,20757,45069,34606,34343
115,44082,44171,87144,69917,14322,58274,70025,60954,80792,60875
116,96123,89465,87593,27901,85078,59174,61965,93241,90896,36793
117,286656,327582,276593,219695,358672,382276,415987,110917,302833,148252
118,53089,63388,56033,66836,44138,7514,20070,20072,60290,4732
119,37910,99418,98949,41282,20165,105152,99123,58989,34914,97066
120,109107,301001,166352,269524,213724,281174,213481,187575,256324,425112
121,472157,493314,494746,468197,467674,458795,464071,462237,492819,474333
122,36659,43860,44820,41511,7595,64325,44395,5099,45502,14241
123,114676,306628,427499,181795,313374,248056,112337,304273,244965,244840
124,55997,57867,14051,44401,49339,49337,50269,50464,3488,19941
125,358512,304424,112484,192766,261364,355203,162853,219066,185519,429038
126,20136,100037,100904,57873,20371,58269,100674,73549,60863,97379
127,57646,3700,20026,63404,44967,17093,40766,50778,50489,40633
128,168369,185645,201212,254885,341236,225994,404514,413756,251416,236846
129,25415,85343,59744,58881,54039,53967,54757,25414,8833,58639
130,95540,25295,59160,97580,27995,119538,28005,25242,25353,88680
131,27404,20295,69683,78087,20739,45412,7393,34035,45003,31836
132,355220,284044,427347,315888,367445,152330,370362,226407,165088,175417
133,331323,376537,337823,292636,234375,407154,245851,216134,410496,240179
134,354876,360248,209550,164634,410975,246887,281182,404849,287043,261143
135,34045,81192,69922,43721,8062,20461,77440,70688,77119,45076
136,484416,487795,469189,494132,474847,474959,462047,483073,487188,463978
137,374779,205809,269107,112647,304598,334437,357425,415807,280268,222816
138,234390,370851,274802,232076,433639,158134,157431,403565,329428,235361
139,362282,196533,242314,162351,349421,288201,341070,320002,210271,423314
140,44203,13498,58355,17333,20129,47243,13323,27702,43202,16083
141,484950,463406,460633,465628,486976,464929,484507,480658,488712,459263
142,11257,7308,61502,53260,44707,14083,58261,58258,73352,14538
143,101235,36641,14012,63975,64224,100149,45406,33852,5174,33925
144,27747,36601,41410,81343,53565,8186,64345,101749,5424,21011
145,7492,44140,57917,62793,62202,41736,61136,50631,60264,59329
146,243530,405134,314825,411645,437187,252842,438289,338964,372559,140057
147,51585,89208,61657,59904,54207,54198,54310,27977,25479,59614
148,38521,103778,77553,120401,32873,21270,38388,105375,32711,45713
149,470768,463977,470787,463681,474105,484656,461858,483781,461863,489377
150,27571,8259,40985,43653,103675,53707,47666,5377,73911,41797
151,236837,406502,289792,371762,387393,176332,242755,147341,151360,355551
152,358055,354721,215754,195180,186131,358056,423307,266584,362126,334106
153,117785,121637,57164,98134,57149,91353,38139,120208,97136,120041
154,488508,463203,491432,460755,468302,469546,490085,473399,473191,484288
155,473166,494763,478571,466933,458211,492428,489461,471130,468276,493063
156,110755,302669,255221,396415,349904,366619,495381,159333,153881,430868
157,479416,467881,489085,481588,463829,459043,480406,487897,464784,461835
158,34005,36585,64346,32008,76986,74572,45895,36217,87203,21242
159,320845,324595,413457,349262,378019,310034,160751,310033,319679,283726
160,98589,105419,39537,101615,101303,27846,101607,97764,103305,35001
161,466181,464768,471157,460611,465636,491346,470419,464190,476476,494352
162,14775,44823,97376,20444,66893,55925,47938,53901,50690,78134
163,20572,101105,74892,67216,45007,31869,4669,103679,34022,101405
164,93194,117507,88899,95927,28004,89457,85004,37095,87594,23279
165,117683,121101,121834,37957,118026,120032,19823,38070,31519,39237
166,434919,246837,209419,277956,148677,146962,278380,397246,142702,209699
167,11481,82778,41957,77837,44812,45107,44739,63638,70736,77196
168,384480,336748,150965,297247,267121,328051,391647,190614,250104,322420
169,102469,53711,41056,60698,88688,48427,119203,44524,64126,8014
170,3334,60392,3346,12983,27786,12939,60388,43881,3193,47641
171,95941,93211,108421,8587,61599,82585,82402,54091,50952,77250
172,97386,14671,4794,7151,20588,69432,33954,53389,49453,55647
173,229763,371298,314213,186927,364481,195186,244518,259377,161543,276261
174,34988,95546,89156,97443,25252,34905,42037,5587,92887,14792
175,88773,69958,7498,94950,69583,95410,89578,87672,37108,20312
176,175636,197485,337645,382266,436848,184495,368398,136823,281557,295709
177,141852,151663,263085,312566,312565,259804,433956,182080,223305,225648
178,75049,103516,58406,45579,64420,21768,103215,74721,36296,73291
179,391825,252210,314577,139569,394288,273853,148303,346399,408945,416494
180,5582,14044,21274,55776,5618,24170,21196,50303,100484,70165
181,69419,20137,19941,57791,63949,57867,49339,55997,69584,69631
182,183386,163626,386078,229768,434450,179366,265262,320306,147746,330391
183,44811,64198,53889,55919,9146,34316,5721,46483,87663,89382
184,475810,478663,470573,464050,484931,465812,484253,460456,485833,485473
185,38392,102309,100432,21111,102292,11531,5774,66948,32130,70469
186,36917,91265,61866,54087,50348,13986,69762,89800,54154,3821
187,354098,223565,359436,142447,338797,359437,187524,192765,262917,243301
188,64177,47685,69928,5802,70052,64342,24213,32129,67161,60419
189,472018,485205,465252,479635,471009,489433,488140,488775,493484,494738
190,89813,119543,87979,22966,89683,83133,83170,59564,62057,93311
191,264569,298720,1409,348927,183164,266166,422837,171190,395291,289571
192,105370,117676,120324,6313,107743,118273,120425,120216,31645,99819
193,234207,242742,271400,325114,313536,254398,212197,137072,280425,341538
194,61758,58715,108216,9085,87989,25457,96263,25199,96694,57177
195,211100,172130,203699,402643,437197,308694,116726,350414,342660,137005
196,69284,61224,43780,94682,27714,49644,53105,63439,40079,50403
197,14082,57932,3943,21088,53511,13937,43872,11266,101802,98575
198,39581,102342,120507,39545,496961,496962,497015,497017,497016,497018
199,31809,101424,63745,63819,21076,63746,27726,5241,44269,41916
200,21692,48194,78672,64401,103330,48203,103307,102393,102338,91930
201,70398,78094,103734,45106,77399,8208,67186,45497,5806,44321
202,17881,7669,40095,13723,16973,40205,3485,20038,49638,41888
203,493225,462460,478165,466006,494858,474368,467733,493224,460041,490022
204,45364,32898,84414,64179,5673,77207,82192,14244,36721,53826
205,7837,103508,8222,81000,45904,50734,77131,50553,61391,79193
206,484492,469654,461599,478399,493181,459027,480197,481167,490651,493349
207,9660,61809,23147,8376,6144,59570,58981,89594,34920,51297
208,16373,14286,13714,66738,3736,5005,11238,40425,44458,49918
209,490019,484469,462589,460981,478412,474435,484907,490970,492578,478163
210,111873,303802,244107,221386,394808,209631,136969,178337,260315,329416
211,411776,322079,231786,353143,275002,255297,181346,164880,316844,388360
212,143245,144132,237542,149996,239904,152285,222157,396419,313717,414103
213,454726,454649,443332,451712,22924,451504,447268,443489,454716,88339
214,45694,73709,120774,58421,47722,84352,103742,32403,32474,77473
215,55648,10668,43289,17599,43322,40198,4087,44249,77018,4041
216,5968,22097,94718,77459,56338,67116,75030,67259,73692,79062
217,13968,20406,73255,49753,43878,13800,47429,12868,14304,60865
218,69896,67208,34176,8156,34170,63775,50317,53623,45600,64416
219,351856,151380,158593,243115,151652,313077,388934,217011,44657,55477
220,138868,144451,205671,195273,219823,369698,335150,329406,338948,149874
221,61977,59482,51297,34920,8546,97683,23147,8549,51466,59570
222,44913,44649,80926,100053,60249,77790,21968,101752,27529,101483
223,33955,16616,20316,47257,44676,61500,41620,3745,3238,40129
224,391520,374491,319980,155403,150323,355036,199196,321279,184979,36553
225,60177,3944,60505,55790,69556,57758,57755,44639,14638,13676
226,286689,418091,208624,341543,338342,287387,227430,174418,212634,352506
227,84350,31826,45666,70360,5282,5460,14330,45627,60931,101795
228,69629,52923,36171,57884,17901,57541,73653,57857,94673,47941
229,272787,266329,288757,234980,158431,411641,375090,115022,306977,437020
230,500064,502779,504191,501552,505645,503293,503643,501397,456153,500552
231,164367,184525,175234,175685,161569,164427,167767,110984,149460,112219
232,505111,503413,503566,500800,501299,505175,503898,505392,504715,503248
233,421678,207398,421679,172317,368683,404979,364954,380142,350687,206097
234,210805,421123,312811,371516,230740,296817,331896,111323,303247,244947
235,317069,215097,252669,396963,266839,213761,412044,316896,396625,173252
236,49169,107870,121993,107784,122003,103111,120907,108061,108059,103376
237,361107,109233,301127,433765,390164,173088,376328,248387,294673,204877
238,487062,493106,474353,493435,466618,471378,473851,479357,477633,493663
239,58519,117268,75363,7250,47814,31936,21403,80904,48252,82760
240,142091,298176,865,348721,318349,333574,351489,420163,398800,434237
241,505587,456014,500084,505109,501812,502799,504680,503675,501804,457389
242,502999,508890,456072,500452,500201,508809,502460,508793,505751,457575
243,312657,411245,344708,165046,290948,434521,316468,352434,114568,306518
244,502815,501633,505945,505913,503987,502137,503820,500822,503506,500904
245,393875,239500,165463,314816,282899,160528,180612,190820,208,266128
246,197533,386537,427274,175336,337740,283022,2992,156310,293833,274971
247,502583,504721,503231,501817,503232,501604,503001,501507,502364,501709
248,476198,461629,459675,489679,487162,486238,468808,476578,490294,476922
249,207851,202414,338191,163649,348164,262154,414627,279018,404710,229777
250,72333,46588,10076,68547,58684,12404,42189,67310,46269,42622
251,96288,119583,51323,96375,119236,61805,95641,25406,79349,36244
252,500785,501846,503155,504110,504311,503717,503575,504733,505811,504560
253,507829,507078,507289,507141,508428,508137,507345,507023,506660,507293
254,212096,165978,259647,142248,239461,193810,266276,309453,175857,229081
255,315480,355947,115875,307834,138981,169186,152612,391292,381396,392417
256,507408,507608,507571,506466,506542,457223,507656,506650,507845,457367
257,504281,504619,504520,500004,504894,504280,502433,501276,503864,505379
258,506471,507175,507050,507139,508315,508525,507563,507741,507101,506876
259,355167,174152,226417,355964,212058,150241,2329,299639,408074,152415
260,105131,98020,118442,121373,70657,74395,87728,91857,31612,97181
261,500196,502102,502374,503133,504898,502211,502280,505505,505593,500127
262,355610,113723,305669,332730,241505,437577,215102,208226,391704,160688
263,217006,300609,287456,273198,186427,264102,142428,141223,108716,178888
264,136159,136161,136115,136131,136147,136130,136127,136152,136139,136128
265,506862,507780,508357,508492,507496,508210,506994,507276,507002,507566
266,171466,326256,174803,397551,180859,209273,360650,238526,386878,203125
267,207856,193370,263020,369813,282652,266809,255783,422122,160800,371881
268,507047,507010,456037,507668,508117,508194,507521,508510,506725,507969
269,188268,195746,387819,208279,171273,418989,418804,410732,277574,151914
270,7405,50307,7752,8342,49852,73847,8242,81066,5523,24171
271,323242,416627,245941,163211,510520,342272,510646,496841,244969,496872
272,75060,70502,77927,21656,78874,78878,5832,74030,81383,87260
273,365599,143571,147481,375,297684,160800,427417,382924,289776,258856
274,505018,500274,500730,503114,504971,501227,505264,502051,500993,504602
275,511288,511239,511326,511206,511279,511213,511270,511185,511325,511245
276,275150,151646,422762,398636,172804,165479,420115,317775,217166,109366
277,507520,456155,508585,503078,500576,456052,525172,500877,508381,507989
278,323030,361914,354674,437796,161269,160126,315650,340214,361916,160648
279,144510,184048,168138,152272,161423,147603,149078,138796,148458,150795
280,313258,186109,261236,156207,335982,327939,304470,112530,407032,244327
281,82281,88749,36484,4299,25076,34208,91107,25320,21743,51005
282,504704,503257,503498,505410,501349,502098,502586,505527,505810,504879
283,322546,283526,260798,220844,437154,223071,241393,171150,388703,189217
284,167830,219804,381743,403522,263450,428996,260545,206672,144899,165837
285,155525,190092,181601,162755,152111,156384,138136,2471,141518,160394
286,501690,457388,505764,504643,503680,456082,503663,500545,502277,502664
287,110483,157934,157481,155810,155898,110484,114224,1959,114223,153121
288,136450,136568,136519,136558,136486,136499,136533,136342,136509,136385
289,103135,104473,107061,120762,120591,104489,100012,91975,30108,100973
290,504452,504232,504451,505374,504628,503077,502852,502748,504450,503655
291,83072,22675,77215,23814,92065,70787,82184,78976,103787,31973
292,504508,457187,503079,136475,506003,504262,525181,502182,504813,502854
293,144835,358149,379108,418699,290967,269656,138057,262969,290966,228012
294,456443,457058,456438,457691,457468,456646,457692,457354,456081,456508
295,193394,187021,170344,390774,113413,305360,246285,387350,417078,383241
296,510204,510145,510232,510024,510234,510188,510017,510039,510011,510038
297,116618,163463,158904,148900,153671,146099,2783,2784,146846,137141
298,310832,249605,373902,294305,363664,418336,190481,338569,152813,246486
299,508335,508172,508251,506772,506600,507319,507325,508430,506759,507110
300,107814,100966,122341,107771,104469,108090,39755,108091,39704,106420
301,411251,232339,162385,284991,384580,438092,161941,324350,174495,434868
302,78704,7396,81912,74280,81705,94731,74597,77073,74115,92066
303,500926,506425,506054,497505,505707,503670,497508,502173,505575,501141
304,313419,439480,253089,152655,396780,177298,144297,232672,70408,421103
305,502192,505758,504723,503002,504309,500197,502891,503924,503922,500322
306,462042,486603,469900,469532,487815,485081,482514,484687,466828,469758
307,507197,508410,506480,506774,508351,507575,507517,508506,507646,508193
308,525259,502209,505706,505503,500193,505186,505768,501758,501336,503913
309,505661,503893,500192,501694,501329,503246,501695,502448,505384,502275
310,502331,502846,505313,504183,504187,503774,505829,504033,500355,505871
311,505036,504477,505360,504204,500697,502783,505287,501063,504982,501985
312,164367,184525,175234,175685,161569,164427,167767,110984,149460,112219
313,154692,212403,429104,336325,257601,300084,2774,434651,398908,439299
314,456675,457484,500973,455950,502154,457443,504173,456828,505554,502946
315,422603,410137,185490,425803,405970,260978,437643,167757,292458,196170
316,40966,45178,5526,45340,4625,36539,5512,4612,77772,101387
