,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,22654,119781,95314,32992,33142,83260,85515,24484,37025,28001,89395,87302,96039,119784,97577,88320,89394,92680,93189,119479
1,48170,70589,45514,45272,5928,48143,74365,45936,103552,78233,45450,8273,21967,50891,4860,50559,84164,74415,32033,14205
2,217070,185480,316065,362454,302334,110426,338154,401896,172632,216586,441447,288625,413939,206767,358360,404663,331500,320304,387943,217041
3,40957,73550,58174,20206,50063,52958,20227,47648,40734,7423,52957,73461,23630,44056,43808,27327,17455,20408,60378,19186
4,489401,482386,467143,484669,476748,462430,482819,477794,468327,490386,470477,464133,462692,459191,478060,463593,484400,463781,494829,481595
5,5163,27668,36350,47490,47431,63397,76873,13800,73725,13967,58280,49753,11242,49231,60865,41274,41325,43810,43878,23600
6,331496,143634,413935,262110,174972,407793,423317,439254,358355,178234,324761,200128,404516,210523,220301,2055,299365,373504,195748,272739
7,32854,67248,74428,94996,79258,14214,90954,70531,103691,67044,45630,88509,32855,5195,63637,58398,101398,45923,74747,45044
8,87825,43696,11418,11419,4891,56254,82212,32870,67251,48184,67011,32206,11658,74137,118591,80867,34958,85273,103633,117381
9,44890,41352,41759,69541,44273,58254,60175,3692,50010,69430,53124,69385,69605,3929,69352,34000,66888,12959,69866,40394
10,103216,150172,74728,60453,202073,261142,387865,44889,137532,3306,143239,24136,326927,45863,423655,3300,360238,44750,313367,370519
11,53817,5317,7838,53865,78652,42025,60452,63550,73928,45584,64451,41503,64323,60426,41508,67060,45110,32038,77425,45593
12,43594,23602,40502,90623,4812,76869,27507,44393,56104,20617,100496,13736,55727,69304,55755,20030,61483,14454,20232,53425
13,97094,39116,19164,29069,118130,121829,118330,12069,72845,39377,120027,120029,31408,63028,27877,98998,59472,119763,95076,95598
14,256968,240463,316843,220437,281850,431167,156333,405843,415966,142319,266610,310758,285219,321445,282649,70537,302650,110736,352976,64361
15,84988,96110,90910,88324,61697,88882,8420,58816,8561,61895,34956,92685,118846,23117,37148,88926,95849,51065,23273,93202
16,284888,439933,144490,213979,260155,330725,180203,263216,222822,382281,434929,150873,272717,378827,285952,327583,197374,389034,424152,389035
17,217972,177906,209897,246126,338476,152333,161463,369014,333124,419250,363562,307187,115230,265148,328753,219390,177735,206954,406345,311590
18,284377,154381,194733,232744,20615,205341,233815,169829,434294,423656,190957,151840,80870,116232,308191,69924,399031,64363,8017,24136
19,435242,204256,235842,311083,400247,359294,414722,359293,271585,342474,165327,437352,346394,375414,200760,338128,309195,368726,153635,394287
