,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,22654,119781,95314,32992,33142,83260,85515,24484,37025,28001,89395,87302,96039,119784,97577,88320,89394,92680,93189,119479,93366,95215,32990,63028,36887,119814,96105,67097,97428,27877
1,48170,70589,45514,45272,5928,48143,74365,45936,103552,78233,45450,8273,21967,50891,4860,50559,84164,74415,32033,14205,41819,27550,56136,84208,101784,5592,8206,81350,27543,64190
2,217070,185480,316065,362454,302334,110426,338154,401896,172632,216586,441447,288625,413939,206767,358360,404663,331500,320304,387943,217041,194306,404500,148786,161968,413941,331501,320302,149919,396085,321488
3,40957,73550,58174,20206,50063,52958,20227,47648,40734,7423,52957,73461,23630,44056,43808,27327,17455,20408,60378,96756,98414,98410,98255,38252,38148,38006,19186,31374,31247,73120
4,489401,482386,467143,484669,476748,462430,482819,477794,468327,490386,470477,464133,462692,459191,478060,463593,484400,463781,494829,481595,462737,482064,471854,490206,479081,490208,478059,478844,470801,471803
5,5163,27668,36350,47490,47431,63397,76873,13800,73725,13967,58280,49753,11242,49231,60865,41274,41325,43810,43878,23600,77005,50017,14304,13672,80684,13968,33905,69980,55923,53180
6,331496,143634,413935,262110,174972,407793,423317,439254,358355,178234,324761,200128,404516,210523,220301,299365,2055,373504,195748,272739,150434,218093,316062,302171,110264,404495,330216,327250,304271,112335
7,32854,67248,74428,94996,79258,14214,90954,70531,103691,67044,45630,88509,32855,5195,63637,58398,101398,45923,74747,45044,21012,74491,103165,44924,27559,14713,45141,83275,73925,88212
8,87825,43696,11418,11419,4891,56254,82212,32870,67251,48184,67011,32206,11658,74137,118591,80867,34958,85273,103633,117381,80970,75234,77117,33034,118922,84468,117645,33049,34316,5647
9,44890,41352,41759,69541,44273,58254,60175,3692,50010,69430,53124,69385,69605,3929,69352,34000,66888,12959,69866,40394,69857,40432,16637,47213,38414,49641,60180,43776,44074,44603
10,103216,150172,74728,60453,202073,261142,387865,44889,137532,3306,143239,24136,326927,45863,423655,3300,360238,44750,313367,370519,63916,50860,319827,313366,173617,53488,354727,5535,356966,44701
11,53817,5317,7838,53865,78652,42025,60452,63550,73928,45584,64451,41503,64323,60426,41508,67060,45110,32038,77425,45593,36683,70127,5933,21248,56129,77445,5480,103205,100540,45754
12,43594,23602,40502,90623,4812,76869,27507,44393,56104,20617,100496,13736,55727,69304,55755,20030,61483,14454,20232,53425,53206,80773,57677,4823,14224,57681,69388,61508,49693,61279
13,97094,39116,19164,29069,118130,121829,118330,12069,72845,39377,120027,120029,31408,63028,27877,98998,59472,119763,95076,95598,95998,65823,89204,28416,92385,108380,54640,34709,51230,59129
14,256968,240463,316843,220437,281850,431167,156333,405843,415966,142319,266610,310758,285219,321445,282649,70537,110736,302650,352976,64361,5926,434918,150850,73298,350555,260579,414396,258597,53750,184884
15,84988,96110,90910,88324,61697,88882,8420,58816,8561,61895,34956,92685,118846,23117,37148,88926,95849,51065,23273,93202,25307,118826,8556,89162,95809,20448,95565,36897,12950,82372
16,284888,439933,144490,213979,260155,330725,180203,263216,222822,382281,434929,150873,272717,378827,285952,327583,197374,389034,424152,389035,216444,210701,378826,169662,218682,217474,337809,332328,338810,404018
17,217972,177906,209897,246126,338476,152333,161463,369014,333124,419250,363562,115230,307187,265148,328753,219390,177735,206954,406345,311590,333123,311589,388582,431825,419251,256101,142493,151883,201338,247
18,284377,154381,194733,232744,20615,205341,233815,169829,434294,423656,190957,151840,80870,116232,308191,69924,399031,64363,8017,24136,214809,385922,147588,116088,308047,5243,423655,143239,202073,63916
19,435242,204256,235842,311083,400247,359294,414722,359293,271585,342474,165327,437352,346394,375414,200760,338128,309195,368726,153635,394287,244265,173930,140587,358823,314402,359292,264760,363248,343311,303152
20,252380,264534,226483,356823,189101,227504,351857,181302,248724,252766,385768,138518,337825,347486,390854,439097,321144,151652,382984,180244,335795,158593,355219,312586,169562,157805,313077,388934,289188,313078
21,4904,64202,101799,70541,47938,78134,41462,61495,20444,97376,45365,55925,14775,36547,38391,5888,44823,53787,53901,14241,66893,7595,4444,64325,44820,40665,50690,7730,41511,60967
22,14173,70019,56024,55873,49677,27546,3142,60387,20456,14221,13006,48217,16661,20949,56205,20210,16623,84348,15963,24207,20428,74678,16706,76934,55908,7890,36854,70224,3899,5058
23,148734,302337,110429,344439,255147,415323,404520,336109,344440,401897,163553,414107,153372,296223,295364,230027,172575,161194,371968,393296,321487,179845,224090,244234,257933,355212,265817,415324,367773,381785
24,410991,439422,396094,377024,180010,441474,349732,229278,284392,248666,427662,404671,353161,256744,415488,141630,166045,355361,263705,2217,299526,293133,345437,436346,439595,2218,299527,251478,171998,212558
25,464968,468742,486336,474604,471229,462935,485262,471208,459700,474974,470045,492139,462457,473703,492431,474908,476734,464167,465609,492454,465819,479728,479727,475965,484655,481374,479887,473077,473379,490365
26,74727,53646,63782,53880,87389,5460,81797,87454,117406,48101,45666,5455,32426,21095,70360,102504,50740,45376,84350,45278,27568,78561,45622,73937,47708,64454,8308,34191,70856,53547
27,66828,47602,73374,27476,100663,33962,69423,24148,16358,63816,4732,53102,13512,41246,40213,3473,41291,3532,23996,44138,50154,69441,14765,100236,87176,40448,56033,19947,60290,20521
28,103776,77515,77345,45335,11587,36502,74007,4427,69636,45389,47957,11669,101520,8076,60963,53800,44858,81202,77560,56223,45623,44496,46425,53402,5662,100073,77572,103714,62058,20479
29,16812,3798,40282,57799,13013,58099,44263,56037,16494,66657,69872,40118,13815,12974,50487,47252,73241,47207,4809,20304,80790,41646,20041,21145,57743,69424,57427,5006,47543,4068
30,161365,240601,355048,420545,370676,439411,44750,269717,403693,427644,5535,45399,45912,50295,321627,198950,45911,45157,388008,327090,33978,45276,114820,306771,212962,102519,316377,61365,60453,24254
31,488098,468567,474479,482291,486242,476028,476979,494725,493692,478973,488997,467874,464007,473590,493455,475891,486241,485008,458002,493693,474723,492814,471251,494726,481988,472866,493309,483119,478974,474987
32,63523,63952,100914,14637,47935,53171,27470,57673,53181,40171,40140,69839,43444,7518,69759,16318,60230,14634,41225,11222,36215,44041,69345,17920,11314,40119,47308,23598,57713,16359
33,336412,421185,339278,288179,142701,380169,391635,167726,138824,184422,185104,291662,279368,364485,424632,418917,150236,209380,338126,348090,260338,334595,358822,311253,307123,115167,151496,170781,258453,172874
34,254651,299344,2034,402032,439078,404830,366124,204898,243606,383131,262048,399010,172778,190892,213463,229538,193595,182576,383130,142110,232995,257201,349569,276729,287358,315695,174373,403215,344597,261984
35,279798,352512,146073,393470,236145,293294,420556,321803,414271,217980,277577,378507,274127,414101,251174,357430,411147,396915,357285,388027,353327,161713,261662,366618,275149,156295,277856,313714,112668,304611
36,212700,180034,257635,248587,223282,219957,112020,303952,212776,388933,310190,276343,390852,324596,197891,398862,147760,218432,315887,148394,236673,242000,401563,407473,381467,392981,398711,371464,439094,310191
37,107957,107940,107951,107959,118282,107952,117447,107971,117776,107945,107958,107973,107943,107975,119280,118105,107977,107984,120658,118809,107941,119575,119410,123306,118323,123316,107980,107970,107948,107960
38,37700,119999,118399,105116,106980,100356,100362,99871,38252,91815,73120,99835,98255,98733,98414,98410,31454,31374,31574,39142,31289,38148,98841,99006,38006,31247,98724,96756,98049,19186
39,7542,55783,43601,95682,47797,47284,43766,20300,16475,20522,63427,60287,97827,119337,13704,61137,20673,11341,34913,69735,27482,27503,95923,44617,91148,60579,22707,428382,158671,401892
40,179698,175755,317835,274139,422011,149915,160095,263487,359770,262541,309855,157791,228419,245100,369524,158989,369525,400917,363884,428069,242606,160015,333739,207880,326114,139348,140900,402466,510946,511053
41,141731,187699,325618,321118,313693,350214,233307,270896,244432,436843,291342,226975,436849,285051,195059,277122,156978,396240,397242,225546,325619,186375,168214,250931,424307,316526,313877,214366,414230,342024
42,275848,262027,204513,265891,225513,272081,418590,304917,112973,289407,378828,221106,276696,223608,223251,141509,290165,437032,273130,330877,389209,263051,150783,291501,241768,402643,139028,181375,200632,243295
43,385280,168363,196208,329433,333822,348774,288413,426541,419427,239047,417155,363896,432020,204769,311753,143991,354264,179583,243868,422024,109120,301014,185044,315185,409442,288565,188033,193783,392502,294231
44,472396,485576,476543,469191,472715,491389,474736,462738,484933,473075,479963,475450,468316,460955,460362,468349,489165,483562,488321,483561,468577,466698,483563,463025,466763,463492,468897,465580,465059,479964
45,41513,45502,77132,53730,5493,74361,81045,45825,36785,7282,41991,43860,45234,56077,41511,36659,5636,14374,64178,5099,67008,74360,44729,64325,100046,5679,44820,5371,45132,44395
46,41326,102470,77002,81051,61281,101152,81306,7300,103184,69639,50863,53558,60275,73808,33910,5033,45669,55744,44952,74012,7341,103627,41973,21730,40922,101385,103189,78089,24153,45639
47,173109,226587,367782,415495,352508,177332,214050,366461,167671,182899,336262,293291,232264,338343,386262,304609,112666,391538,254439,423831,267151,270413,370845,165138,381944,434771,251006,327586,182740,341545
48,95224,28000,88951,119511,119902,87580,67097,67182,97428,88854,96105,58704,67183,75313,77575,50305,119479,23109,96034,95215,89394,88870,24953,7349,93189,45271,41949,5677,96039,63508
49,121676,38945,57147,119995,99107,120193,57153,31375,104874,38080,38190,97285,98270,38749,120363,31630,121704,98833,37947,98834,98924,121241,86906,99429,31658,118040,38265,118445,121673,31694
50,350560,207882,194918,267602,246310,267549,431491,276261,3048,300356,421027,424466,371297,259377,380001,368569,161543,322247,193023,339125,384142,334591,235031,200913,217375,384293,260869,253785,227953,366940
51,367128,237984,433803,319057,210639,385275,419850,213368,377538,207999,324256,369865,206085,279149,438625,225110,360075,286777,136669,387733,360074,177266,312093,265739,190678,419846,403874,209338,298220,909
52,45593,36683,64323,77445,78652,45110,8215,42025,73928,7838,5933,5317,53784,5480,53865,53817,36719,5812,60452,32038,41508,70127,45494,70532,45584,56129,41503,50577,63550,64451
