State,County,Inc_Muni,Uninc_Comm,Nbrhd_Comm,Post_Comm,Zip_Code,Plus_4,Bulk_Zip,Bulk_Plus4,StN_PreMod,StN_PreDir,StN_PreTyp,StN_PreSep,StreetName,StN_PosTyp,StN_PosDir,StN_PosMod,AddNum_Pre,Add_Number,AddNum_Suf,LandmkPart,LandmkName,Building,Floor,Unit,Room,Addtl_Loc,Milepost,Longitude,Latitude,NatGrid_Co,GUID,Addr_Type,Placement,Source,AddAuth,UniqWithin,LastUpdate,Effective,Expired,STATEFP10,PUMACE10,GEOID10,geometry
OH,Franklin,COLUMBUS,,,BLACKLICK,43004,,,,,,,,WORLEY,Drive,,,,7801,,,,,,,,MFRAMR12546**C,0.13357341,-82.7871443044,40.0091168565,17TLE4746530298,{E2D63FB3-FC5C-4A3F-9602-E0AC0E7A6174},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9215822.7482 4867267.204700001 0)
OH,Franklin,COLUMBUS,,,BLACKLICK,43004,,,,,,,,OLD IVORY,Way,,,,8228,,,,,,,,MFRAMR08410**C,0.05924596,-82.7852289391,39.9982206433,17SLE4760529086,{D823A51D-F40C-4A55-908F-D7DAF3C52303},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9215609.5307 4865683.711599998 0)
OH,Franklin,GAHANNA,,,GAHANNA,43230,,,,,,,,HINES,Road,,,,3777,,,,,,,,MFRAMR05751**C,0.1347725,-82.9010696432,40.0350201573,17TLE3780233375,{EADEB23E-35E8-45A3-BE66-18EB90BA0EB8},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9228504.8589 4871032.619099997 0)
OH,Franklin,GAHANNA,,WOODSIDE GREEN SOUTH SEC 4,GAHANNA,43230,,,,,,,,SPRINGWOOD LAKE,Drive,,,,535,,,,,,,,MFRAMR10657**C,0.23290065,-82.8953139108,40.0371650633,17TLE3829933602,{5BC2C614-B677-4A12-A01C-F1FADC065372},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9227864.1337 4871344.475900002 0)
OH,Franklin,PLAIN TWP,,,NEW ALBANY,43054,,,,,,,,JOHNSTOWN,Road,,,,10971,,,,,,,,SFRAUS00062**C,32.1831157,-82.7748377273,40.1098067239,17TLE4873941454,{BEBB2723-F71B-4321-B8E4-A242CD413F0D},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9214452.7863 4881911.9472 0)
OH,Franklin,COLUMBUS,,BLENDON GROVE CONDOMINIUM,GAHANNA,43230,,,,,,,,BLENDON VALLEY,Drive,,,,5695,,,,7,,,,PFRAPR80515**C,0.11737549,-82.8894544796,40.0704577927,17TLE3887737287,{69438868-328D-4F34-9B89-87AF08250912},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9227211.8648 4876186.302599996 0)
OH,Franklin,GAHANNA,,GAHANNA HEIGHTS NO 2,GAHANNA,43230,,,,,,,,MILAN,Drive,,,,291,,,,,,,,MFRAMR07687**C,0.06175749,-82.8722042444,40.0252384447,17TLE4024332237,{4BA25D08-413F-4727-989C-23463F64B764},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9225291.5774 4869610.5396 0)
OH,Franklin,GAHANNA,,COLLEGE PARK OF GAHANNA,GAHANNA,43230,,,,,,,,XAVIER,Street,,,,403,,,,,,,,MFRAMR12606**C,0.07304802,-82.888064767,40.0097319125,17TLE3885330544,{CA5E4EF8-A31F-44BB-BC2D-1A4B818D8E76},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9227057.1627 4867356.595299996 0)
OH,Franklin,COLUMBUS,,,BLACKLICK,43004,,,,,,,,MACENROE,Drive,,,,184,,,,,,,,,0,-82.8102430653,39.9871382326,17SLE4544427898,{280E7DB9-66A7-4BBB-90C5-5E4B1774F598},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9218394.0905 4864073.418499999 0)
OH,Franklin,GAHANNA,,E R LINTNERS ADD,GAHANNA,43230,,,,,,,,LINTNER,Street,,,,212,,,,,,,,MFRAMR06938**C,0.06620659,-82.8735169615,40.0235033121,17TLE4012732047,{88D12D68-07FE-4F15-90B9-1075EBEA815A},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04101,3904101,POINT Z (-9225437.7084 4869358.304799996 0)
