method,eps,k,precision,recall,f1
random,,10,0.9782313395024848,0.978051643192488,0.9781173252462707
gm,0.1,10,0.9862498941382577,0.9861521909233183,0.9861880043108853
gm,0.01,10,0.9839034746459698,0.9838028169014081,0.9838392297798748
gm,0.001,10,0.978925934707189,0.9787480438184665,0.9788125875736075
gm,0.0001,10,0.9784058053223204,0.9782120500782469,0.9782809642965584
random,,20,0.9704898865973273,0.9702053990610325,0.9703110153906417
gm,0.1,20,0.9862962502464236,0.9862050078247263,0.9862386050629278
gm,0.01,20,0.9806194134083459,0.9805633802816901,0.9805810780496619
gm,0.001,20,0.9738526977264977,0.9736189358372457,0.9737040814607077
gm,0.0001,20,0.9714842764313957,0.9712773865414708,0.9713533466920978
random,,30,0.9658658520104807,0.9656259780907664,0.9657200465476827
gm,0.1,30,0.9860883199941423,0.9859831735472507,0.9860209554581607
gm,0.01,30,0.975788194752191,0.9757159624413155,0.9757370606324326
gm,0.001,30,0.9717049295015613,0.9715082159624419,0.971583918676541
gm,0.0001,30,0.9661990479658452,0.9659956964006261,0.9660749561193911
